Word,left,center,right
cool,0.9019926880071504,0.08165394881343023,0.01635336317941924
##flict,0.8894757728522633,0.10141700511255582,0.0091072220351809
delivers,0.8787236470334208,0.06466432260708552,0.05661203035949365
crush,0.8683717068907527,0.04477361089255708,0.08685468221669011
##her,0.8572242070600122,0.014300482072767228,0.1284753108672205
populations,0.8431555582270125,0.14182234162454554,0.015022100148441877
fifteen,0.8305002285430906,0.09896847849243251,0.07053129296447713
bribery,0.7915164408671548,0.024195690267160258,0.18428786886568493
collapses,0.7894968857073036,0.10948902300690572,0.10101409128579067
distinct,0.7894720131084556,0.16136604575273264,0.04916194113881176
hovering,0.7852324035349276,0.2021294758784948,0.012638120586577694
characterization,0.7793443312237369,0.008241634900204839,0.21241403387605823
backbone,0.7778503585773515,0.1458283315837019,0.0763213098389466
##ume,0.7761195605005847,0.03541908488983244,0.18846135460958277
344,0.7748088330144973,0.19936714764307284,0.02582401934242986
dumont,0.7733779709130423,0.09926858991656565,0.12735343917039213
##mba,0.7698655145408887,0.1800250978909001,0.05010938756821117
distract,0.7682174751448908,0.14919163494576854,0.0825908899093406
iss,0.7664533893755215,0.12068061154105476,0.11286599908342361
##lets,0.7656588544680426,0.08729493822663972,0.14704620730531767
1000,0.7646248097806815,0.20230073702993695,0.033074453189381486
retro,0.7630592553010566,0.1114156879364785,0.12552505676246495
consulted,0.761948854943051,0.2285921853729918,0.009458959683957283
##cation,0.7594441786739025,0.11817311045487397,0.12238271087122367
involuntary,0.7570150829586583,0.07713110428658868,0.1658538127547531
##ssing,0.7561591106203052,0.23887034925977604,0.004970540119918717
transparent,0.7550401168733127,0.1822553720146272,0.0627045111120601
ups,0.7533229102900484,0.12184464264841983,0.1248324470615318
dictatorship,0.7512008377019105,0.23194717601899065,0.016851986279098827
glass,0.7498587861084149,0.14503153601305604,0.1051096778785289
441,0.7494219350562863,0.09231739368255693,0.15826067126115678
##uance,0.7469269849583804,0.1609849735004531,0.09208804154116645
elephants,0.7464390503712769,0.15270318124147172,0.1008577683872514
contexts,0.7456020833830128,0.042126784674700546,0.2122711319422867
comprised,0.744626623726959,0.011218196097505764,0.2441551801755353
evaluate,0.7392222624800611,0.01202940368776705,0.24874833383217182
sanctioned,0.7384549352494716,0.0318520268882266,0.22969303786230186
letters,0.7366750853051636,0.11280792215656721,0.1505169925382692
monitor,0.7349374715516417,0.2152573566662953,0.04980517178206289
weekday,0.7337914405721839,0.10384953449861013,0.16235902492920576
rolls,0.7326833602666805,0.08152456421519874,0.18579207551812082
##oting,0.7325248735930436,0.20981117941304367,0.05766394699391258
##ower,0.7280130105024952,0.16746747386186717,0.10451951563563752
hints,0.7215567849200238,0.19454835001933934,0.08389486506063686
##tma,0.7213084763081257,0.26003747497648877,0.01865404871538548
yin,0.7198937598963373,0.14503668539280504,0.13506955471085766
studied,0.7196392326287875,0.06414529290273739,0.21621547446847514
presently,0.7195855195718495,0.24655270677363508,0.03386177365451547
variety,0.7194070051159246,0.24988968749499801,0.030703307389077415
retaining,0.7176233839662135,0.1845373042047515,0.09783931182903492
sears,0.7161604843087351,0.15815298063038777,0.12568653506087718
##rted,0.7142543980726702,0.018906531697730888,0.2668390702295989
143,0.7118871890765808,0.19246020540593095,0.0956526055174884
manage,0.7117773360025473,0.25873127007276486,0.029491393924687786
cantor,0.7111078013512115,0.26742013599929554,0.021472062649492824
tre,0.7107021151821475,0.20445527847922385,0.08484260633862853
pricing,0.7080275202213345,0.1828757580569715,0.10909672172169399
slovakia,0.7072115835723869,0.1870891847754158,0.10569923165219747
mbc,0.7069138163268357,0.19425550781522868,0.09883067585793551
##ific,0.7067208224321477,0.0871699224623042,0.20610925510554798
kaye,0.7065378387176238,0.24387786961336955,0.0495842916690066
##yde,0.7063939441841819,0.2687145038107099,0.024891552005108317
##eye,0.7054998374585595,0.25175361506099925,0.04274654748044124
224,0.7044065352183869,0.2834175365234051,0.012175928258207916
bluegrass,0.7026988585726355,0.057746458408460925,0.2395546830189037
equality,0.7018022046670946,0.16175006173180706,0.13644773360109835
derived,0.7003692122062462,0.21731564932118472,0.08231513847256898
foe,0.700207099484958,0.22835734978640623,0.07143555072863586
mars,0.7000756988206126,0.009594405757893833,0.2903298954214936
mild,0.6999598253617686,0.22098498925778862,0.07905518538044272
##dl,0.6992848079182644,0.267278403945569,0.03343678813616665
wheeler,0.6991565962006558,0.044189822865086166,0.25665358093425794
convinced,0.6991239485969231,0.040246996171326765,0.26062905523175023
located,0.6983539641711288,0.03706273229198931,0.2645833035368819
broadcasting,0.6972544047786522,0.22572985290857867,0.07701574231276907
mccormick,0.6939942399250385,0.17758837440443437,0.12841738567052713
shovel,0.6933746510510692,0.03515519303726269,0.2714701559116681
asphalt,0.6927187928634816,0.30071208610899497,0.00656912102752351
256,0.6925396637491136,0.2720538527689599,0.03540648348192659
valet,0.6922349376955885,0.032026041662030304,0.2757390206423811
sights,0.6905655191927281,0.2710854659336566,0.03834901487361527
##tangle,0.6899763402152703,0.1035336849621539,0.20648997482257578
fencing,0.6893403957720836,0.11490769718827631,0.19575190703964002
albeit,0.6886094457625149,0.05006176487319981,0.2613287893642853
packages,0.6882837232518739,0.3083088587415546,0.003407418006571533
comeback,0.6880576459409908,0.29911221073423944,0.012830143324769777
heal,0.6876113278633278,0.0547242912982916,0.25766438083838067
technically,0.6875814900956967,0.02992926222403552,0.2824892476802677
ambush,0.6873956859747601,0.054906688587754306,0.2576976254374856
reminiscent,0.6834834895389695,0.26577958960817505,0.050736920852855506
heating,0.6825029546826238,0.07229882643618334,0.24519821888119286
disasters,0.6824326211268923,0.19963562664159443,0.11793175223151334
forgiveness,0.6792605926391578,0.10751397335558074,0.21322543400526153
219,0.6789369780896527,0.1210462787490842,0.20001674316126314
solutions,0.6788905653077637,0.269039848352117,0.052069586340119156
billed,0.6783781575740185,0.18101160418988754,0.1406102382360938
implements,0.6779216854992819,0.2013759103999076,0.12070240410081053
touring,0.6778953120944268,0.09779651095285903,0.22430817695271418
succeed,0.6778274393333343,0.3065025004490463,0.015670060217619387
northwestern,0.6778217964654661,0.22963412505693928,0.09254407847759458
analytics,0.6766312483538656,0.22520704938263583,0.09816170226349867
##oca,0.6762935024680329,0.20086907713554925,0.12283742039641797
typical,0.6760941054607233,0.1542769001402077,0.16962899439906895
shack,0.6758390886895019,0.20230302459415364,0.12185788671634443
cite,0.6753051490791219,0.2270562924194809,0.0976385585013973
##iring,0.6745757917503924,0.25730645519966666,0.06811775304994086
##elt,0.6737277815290789,0.018968143862545393,0.3073040746083758
contemplating,0.6724559267112393,0.031425858723294446,0.2961182145654662
##bert,0.6719858177114222,0.2472388701720419,0.080775312116536
##pit,0.6715048618913451,0.06303018901790819,0.2654649490907467
nay,0.6695261429578293,0.010571781144282102,0.31990207589788866
items,0.669442003042556,0.1789479641031823,0.1516100328542617
pitched,0.6693435691379704,0.08477599228259455,0.24588043857943506
espn,0.668632490066122,0.060401692536658134,0.27096581739721987
##bus,0.6680087233739818,0.31482669699558735,0.017164579630430814
puerto,0.6678185814218036,0.02561734837272797,0.3065640702054686
utc,0.6677764481966965,0.2588300480679997,0.07339350373530372
fiction,0.6675257691539208,0.28148963521012954,0.050984595635949675
persisted,0.6674390198275791,0.22183569413202547,0.1107252860403953
broadway,0.6672332626542641,0.15666234481974264,0.17610439252599322
agricultural,0.6665625146492159,0.13915214067267137,0.19428534467811273
stout,0.6654466861370341,0.292660696500794,0.041892617362171855
communication,0.6651758739003313,0.06258689823310704,0.2722372278665618
disturbance,0.663386470317113,0.3208905432413335,0.01572298644155351
abduction,0.6623765766395533,0.3149105346147195,0.022712888745727213
plea,0.6617561197150246,0.1754563411565183,0.16278753912845706
referred,0.6609640166499167,0.21621167890098414,0.12282430444909911
analyst,0.6607828410489479,0.21750331498560743,0.12171384396544468
##du,0.6606751125644763,0.24162112825960125,0.09770375917592247
cas,0.6598780754430438,0.1543855011976511,0.18573642335930504
implications,0.6590481175510693,0.024667962758943566,0.31628391968998715
intersection,0.6581509470952539,0.020312732868640743,0.3215363200361053
tian,0.6575375567977719,0.029312015739901595,0.3131504274623266
outset,0.6574014086879332,0.23118153224049895,0.11141705907156796
learn,0.6573529437329189,0.28638200865046276,0.05626504761661829
holmes,0.6571074292626584,0.22216406507292494,0.12072850566441663
erase,0.6566058521249041,0.30544611239945485,0.037948035475641066
lectured,0.6564481467319073,0.19353056202773727,0.15002129124035543
afrikaans,0.6561161314626041,0.28976683631540834,0.054117032221987604
##ddled,0.655568446338518,0.3362454406393791,0.008186113022102842
tangled,0.6552107577678308,0.3033232361214065,0.041466006110762704
##making,0.6548501323223838,0.11976556784126652,0.22538429983634972
example,0.6547613532490032,0.11283375936779458,0.23240488738320228
govt,0.6537401661770925,0.11187399163701872,0.23438584218588873
eras,0.6537100196782326,0.20961598488899527,0.136673995432772
##sper,0.6535546843483332,0.2924124394311711,0.05403287622049562
parentheses,0.6529529114964818,0.2303245562741575,0.11672253222936081
##ties,0.6527440188892769,0.0008798182325572374,0.3463761628781659
aware,0.6525262519013331,0.30052683365054,0.04694691444812688
profitable,0.6525154695184109,0.3329176317685321,0.014566898713056917
concourse,0.652174961808489,0.20316840041245798,0.14465663777905288
cove,0.6521511235191801,0.3354874168434707,0.01236145963734918
doubling,0.6520401818320464,0.2718213988657962,0.07613841930215759
##ria,0.6518746787410443,0.22957996654227375,0.11854535471668201
rowan,0.6514580583114011,0.04909339749788479,0.2994485441907141
lists,0.6504483014881227,0.31369180341340885,0.03585989509846842
heel,0.6500931636139838,0.29337808397065723,0.05652875241535895
dealers,0.6500632764384654,0.2754594698062911,0.07447725375524356
##ometer,0.6497766253831246,0.34644906670254916,0.003774307914326236
periods,0.6474311851616561,0.3110524799611115,0.041516334877232344
dispatch,0.6464391681100546,0.037857665914207195,0.3157031659757382
fulfilled,0.6463875797812083,0.15928269635812714,0.19432972386066463
driveway,0.6462234489922694,0.3170996868250421,0.03667686418268855
seal,0.6460842932344818,0.23837938280344062,0.11553632396207753
##ome,0.6460627786462685,0.03528762845353552,0.318649592900196
carnage,0.6458099588640237,0.34512894923199344,0.009061091903982802
egyptian,0.645708581347921,0.11108168669259219,0.2432097319594869
volunteers,0.6456022547914573,0.07752432168783495,0.2768734235207077
##ami,0.6455836565466314,0.12957335368121087,0.2248429897721578
sidewalk,0.6451904933087218,0.1369947100945723,0.21781479659670583
sword,0.6442189413284246,0.2816833304883567,0.07409772818321854
feeling,0.6437300706151603,0.12142634925361977,0.23484358013121995
decidedly,0.64263285007128,0.313693504954111,0.043673644974608905
towering,0.6424840406368104,0.354527542145517,0.0029884172176726166
grassroots,0.6424718555656012,0.3489655619424771,0.008562582491921858
##tone,0.6424016515876277,0.2622151753819192,0.09538317303045299
goblin,0.6421481201468324,0.3172907525550272,0.0405611272981404
firefighters,0.6411698863743848,0.06346141661371257,0.2953686970119026
pigs,0.6409207742696732,0.3017755947617213,0.05730363096860555
japanese,0.6407788288371447,0.22360634399243678,0.13561482717041853
laden,0.6405748451818226,0.039582844712173236,0.3198423101060041
traction,0.6401842331746729,0.11237417846989395,0.2474415883554332
schwarz,0.639785949332296,0.07559147063256604,0.2846225800351381
licensed,0.6394976359129454,0.036212252471688064,0.3242901116153666
bal,0.6394564348349249,0.21466819163819342,0.14587537352688165
##holder,0.638615326690875,0.32755069884253735,0.0338339744665878
##ics,0.6383963988156126,0.1809511739264937,0.18065242725789382
criticised,0.637636690367621,0.2977179569309787,0.06464535270140034
##hat,0.637166535894414,0.25275227832995034,0.1100811857756356
monitored,0.6369546511237828,0.3034633622643641,0.05958198661185316
##les,0.6369463023969107,0.19795416119362613,0.16509953640946304
graduates,0.6365581060026669,0.03213418803972553,0.3313077059576076
inmate,0.6365129129807278,0.32735626613961893,0.03613082087965323
blitz,0.6360435496603409,0.1949272039240471,0.16902924641561196
hellenic,0.6354555838759604,0.0904404638094905,0.2741039523145491
##uis,0.6343286145564407,0.3086397185456541,0.05703166689790517
resulted,0.6340604798912518,0.0985262407605986,0.2674132793481497
revenue,0.6339153667582151,0.21304568240541877,0.15303895083636596
cracked,0.6329179416150014,0.016074380070140486,0.3510076783148581
tame,0.6325326995605893,0.21946850580429425,0.14799879463511642
##rds,0.6324609278001654,0.2489853010020552,0.11855377119777932
450,0.632102528977581,0.36583934867563833,0.0020581223467805118
rico,0.6315818440852414,0.2944111823293221,0.07400697358543651
##ays,0.6314952481780689,0.16835878455997555,0.20014596726195563
##ati,0.6314676224618452,0.3104613295094535,0.05807104802870151
betting,0.6313200538135864,0.24231242162190328,0.1263675245645104
precedent,0.6310745646384028,0.2735573001936816,0.09536813516791572
vogue,0.6310660901905798,0.1611740622542984,0.2077598475551218
freelance,0.6307627229144447,0.030113593594388408,0.33912368349116684
soft,0.6306342620316798,0.06656363496986194,0.30280210299845817
vincent,0.6305802177524863,0.33895953132400286,0.030460250923510793
knight,0.6301578612190744,0.04800528194149628,0.3218368568394293
##fra,0.6299681107784059,0.34566604755545266,0.02436584166614159
mocking,0.6296436709041823,0.20871082612623756,0.16164550296958008
devin,0.6294764217789169,0.041570687611417564,0.3289528906096654
##uts,0.6284474352651653,0.3170317907819359,0.05452077395289875
aggregate,0.6284116081901248,0.07742067188425296,0.29416771992562224
elevated,0.628277776920774,0.2440379280032572,0.12768429507596873
pistol,0.6282553101156226,0.3056423620843567,0.06610232780002062
economics,0.6281217226523147,0.36609650634947705,0.005781770998208161
broadband,0.6279874607001592,0.18377058891347547,0.18824195038636538
perpetrators,0.6275099474332421,0.35445739836644596,0.018032654200311908
##yal,0.6273606897952402,0.2284464186619976,0.14419289154276227
anxiety,0.6270148428343699,0.29207294083844776,0.08091221632718233
triple,0.6269241080665134,0.3162666323032488,0.056809259630237655
narratives,0.6263870297533973,0.035792768644002076,0.3378202016026006
malicious,0.6263234030942946,0.2618408618085133,0.11183573509719208
cartoon,0.6263093860183303,0.2569310728703727,0.116759541111297
##eca,0.6261921828112206,0.23684842954295998,0.13695938764581944
objected,0.6254089915181555,0.056275592885605796,0.3183154155962387
aspirations,0.6246200629395378,0.2681480733985113,0.1072318636619509
duncan,0.6243139752327734,0.30009806104568804,0.07558796372153859
jc,0.6242143897515474,0.31082445796300406,0.06496115228544848
licensing,0.6237582573859498,0.23274650023606613,0.14349524237798403
plug,0.6237507884541577,0.2677328297079505,0.1085163818378918
tampa,0.6235333606393977,0.26986192194064507,0.10660471741995733
judgement,0.622602157427095,0.24718368351754738,0.13021415905535752
exceed,0.621828991876572,0.3173864149835353,0.0607845931398926
##vac,0.6216184235592181,0.26514620697050034,0.11323536947028154
##bling,0.621090960440224,0.14020840223466585,0.23870063732511013
##room,0.6207940061672966,0.211647138716663,0.16755885511604038
stars,0.6206632380517669,0.35659729810994606,0.02273946383828712
intimate,0.6196045866489357,0.19408404878202337,0.18631136456904102
malaysia,0.6192157931432516,0.2702133368101025,0.11057087004664587
instruction,0.6188488584364957,0.3345224791621292,0.04662866240137508
##hip,0.61883917892101,0.0529305325894923,0.3282302884894977
cole,0.6188262691652833,0.10244191439204708,0.2787318164426696
mom,0.6184585673108683,0.08624945286991872,0.2952919798192129
##imo,0.6183734184794852,0.28751955184104794,0.09410702967946678
slipping,0.618131655427083,0.22681619132817504,0.155052153244742
##arm,0.6178330956249567,0.2496355042562287,0.1325314001188145
##sen,0.6176982711738537,0.12758854501310854,0.2547131838130378
##media,0.6176409798102763,0.11366913234138308,0.2686898878483407
surgical,0.6167158477153988,0.17587513012518796,0.20740902215941331
purchase,0.6162839635722351,0.31587005925344974,0.06784597717431509
recreation,0.615920734229389,0.1027488818980591,0.2813303838725519
sinclair,0.61542114234285,0.2796336868495179,0.10494517080763212
glendale,0.6152532595196768,0.030112545926460878,0.3546341945538624
lands,0.615095739407988,0.1606713874131094,0.22423287317890256
proving,0.6150674605710378,0.29162930151573413,0.09330323791322809
harder,0.614752433663344,0.2702916806221954,0.11495588571446061
##yen,0.6143574572595121,0.08630586290751585,0.2993366798329722
champs,0.6142555550452663,0.10392940193204711,0.28181504302268645
stabilize,0.6141633027032919,0.1441587170168782,0.24167798027982992
intruder,0.6135632316381046,0.36911269847404976,0.017324069887845774
sample,0.613413272740591,0.3722825818383284,0.014304145421080596
awareness,0.6129827442221245,0.12652730305400706,0.2604899527238683
edit,0.6128453188565834,0.3475148306961449,0.039639850447271564
leaned,0.6126204995485645,0.3030298775453445,0.08434962290609116
boulevard,0.6123364124817321,0.28434684646468056,0.1033167410535874
describe,0.6116817881068343,0.16027997290218549,0.22803823899098033
shares,0.6114730372297847,0.15461761225361675,0.23390935051659836
##orted,0.6114481974060624,0.3489199529219591,0.03963184967197853
lieu,0.6109058612993293,0.28292579827691,0.10616834042376067
bridget,0.6105729184936798,0.11929218232767701,0.27013489917864325
sudden,0.6099179594366728,0.20749385310691054,0.18258818745641658
aboard,0.6095454015572304,0.11110373396812559,0.279350864474644
maximum,0.608092265374975,0.10812729271941247,0.2837804419056125
18th,0.607826953872458,0.3723762637414017,0.01979678238614034
##ari,0.6076210491089074,0.31713446314067417,0.07524448775041845
effectiveness,0.6075929332911124,0.36225826800785177,0.03014879870103583
instituted,0.6074669859621789,0.15247328149284922,0.24005973254497184
##vir,0.6074222207964227,0.32710871655705415,0.06546906264652305
transplant,0.6070280436896146,0.2128138855967496,0.18015807071363596
tidal,0.6066560468082695,0.38842995551456344,0.004913997677167138
linking,0.6064183969750487,0.2672388735753909,0.1263427294495604
rapper,0.6060592727468189,0.2200994862013404,0.17384124105184062
severity,0.6053610888438656,0.20517819178637284,0.18946071936976155
hanoi,0.6051700536171326,0.025862621680848488,0.36896732470201893
hem,0.6051174181998371,0.008969727274541223,0.3859128545256217
exterior,0.6050296511047953,0.31076378158668894,0.08420656730851565
deposits,0.604505978240909,0.24854576474870288,0.14694825701038816
commemorated,0.6043961107636502,0.3352688645152735,0.06033502472107628
hu,0.6043664517198082,0.26365128186492476,0.13198226641526709
kant,0.6041726007192221,0.34087784552288897,0.05494955375788896
valiant,0.6034902625915952,0.17768845686079612,0.2188212805476087
sealed,0.6029465645337345,0.36170740536613577,0.0353460301001297
gb,0.6028671725379178,0.03694548209184346,0.3601873453702388
presided,0.6022592028383229,0.3499071484343376,0.04783364872733947
lloyd,0.602132320182467,0.0646529231054614,0.3332147567120716
prominent,0.6018443581032142,0.22767908441406248,0.17047655748272322
meteorological,0.6016583370784053,0.264455785621527,0.1338858773000678
attached,0.6011047511326832,0.3956753973717926,0.003219851495524208
initiated,0.601086932745013,0.3448555600754724,0.054057507179514554
sour,0.600864403791131,0.3870947388566653,0.012040857352203501
##lellan,0.6007490063100762,0.2874424514692656,0.11180854222065832
##yp,0.6003494114053142,0.001038871415605413,0.3986117171790804
##ella,0.6003077353195209,0.15915843681975558,0.2405338278607236
priests,0.5996224752112215,0.3887802135887188,0.011597311200059825
ceremony,0.5995899813554836,0.20277642787573524,0.19763359076878104
liberties,0.5995555324523127,0.13772801887973846,0.2627164486679488
##qua,0.5994554435417774,0.37338234779571133,0.027162208662511306
territories,0.5993715396698511,0.1605185866193174,0.2401098737108316
75,0.5992423228199913,0.2791248145793129,0.12163286260069571
complications,0.5992032928456277,0.3205069028648895,0.08028980428948274
finished,0.5986567867366607,0.30309268250274823,0.09825053076059102
