Word,left,center,right
##ath,0.9619088012021475,0.012447916742742553,0.025643282055110014
browns,0.9533320810855771,0.00973397399382167,0.036933944920601265
inevitable,0.9525697688211802,0.040758035194249066,0.006672195984570907
##block,0.9445767447485636,0.02469363542655305,0.030729619824883397
tourist,0.9363890958989222,0.00278545258619012,0.06082545151488747
uae,0.936264337305127,0.025345927690538866,0.038389735004334194
troubles,0.936098560091946,0.044910416328682326,0.018991023579371637
affirmative,0.935587125579919,8.823249947921315e-05,0.06432464192060192
wealth,0.9326373284975502,0.018586710426604106,0.0487759610758457
##rky,0.9269870056915293,0.07121616989087538,0.0017968244175953713
contingent,0.9196747802351126,0.009380102546089099,0.07094511721879819
##ados,0.9174450923451055,0.01096668594616936,0.07158822170872507
impacted,0.9160563132734393,0.004852354956315043,0.07909133177024581
##chison,0.9086261835486986,0.0540324233020838,0.037341393149217625
chess,0.9072306732794871,0.02362201136013829,0.06914731536037459
cardiovascular,0.9063686601410228,0.06248547122351005,0.031145868635467155
cove,0.9027210227497666,0.04973617291903877,0.0475428043311946
##cend,0.898328348356339,0.07261840906113662,0.029053242582524407
tray,0.8901475750308958,0.03924363360137803,0.0706087913677261
facial,0.8900791554849499,0.01877623288062746,0.09114461163442283
brazilian,0.8894169228520157,0.034053837561126364,0.076529239586858
examining,0.8878704615810438,0.10042615370596435,0.011703384712991823
##dar,0.8831117187407528,0.09322729952614722,0.023660981733100057
mausoleum,0.8751412181691905,0.09958651227275804,0.025272269558051442
##rted,0.8748681444049822,0.07777432817141239,0.04735752742360543
killers,0.87350166097822,0.003023461924435505,0.12347487709734455
wreckage,0.8732240269671169,0.051415496682111136,0.075360476350772
attribute,0.8680659860546885,0.12012566523876045,0.011808348706551076
sanctioned,0.8658885962811389,0.04063080628214914,0.09348059743671186
dipping,0.8655903892672487,0.015915614240615657,0.11849399649213566
spiral,0.8636400850728486,0.12488720633399497,0.01147270859315652
battled,0.86332031791325,0.022778989094063028,0.11390069299268685
fencing,0.8601272627295136,0.09563979727861766,0.04423293999186876
units,0.8598688425479158,0.011074951358329801,0.1290562060937544
joyce,0.8587655723393137,0.06453668839530552,0.07669773926538069
workforce,0.8582119193183455,0.08718194007311329,0.05460614060854129
sigh,0.8568409238168219,0.12243174814794518,0.02072732803523296
##imi,0.8530670031080051,0.052317067782653014,0.09461592910934184
fronts,0.8519507054300892,0.05421180592290251,0.09383748864700821
##ddy,0.8441621686101313,0.06162301898113466,0.09421481240873404
empirical,0.8438663518597695,0.03782765179018246,0.11830599635004813
hopefully,0.8436178984729552,0.11628674735517001,0.040095354171874674
tenth,0.8433962996483404,0.13775061521001758,0.018853085141642096
wielding,0.8420019950411755,0.0011334630216429421,0.15686454193718163
##roller,0.8418437528904142,0.08339233101259992,0.07476391609698582
nervous,0.8414790840080436,0.04995757761083011,0.1085633383811262
##udge,0.8395979008963543,0.09484285206954819,0.06555924703409757
