Word,left,center,right
argentine,0.9943305971195647,0.0015565478576400847,0.0041128550227952036
withdrew,0.9693675593040431,0.005663645732182611,0.02496879496377433
##chison,0.9603018849187561,0.033572824755776165,0.006125290325467748
04,0.9577226865758295,0.004021322265166856,0.03825599115900367
prostitutes,0.9568786882852721,0.015788561269178734,0.027332750445549087
privilege,0.9444519149084313,0.04187490638947431,0.013673178702094389
viewers,0.9429166799248196,0.04857547024560072,0.008507849829579587
bennett,0.930988274851945,0.06722151071779428,0.0017902144302606197
armenians,0.9298944515206622,0.02303662518224224,0.04706892329709544
shadow,0.9159627240760666,0.002497369445483126,0.08153990647845036
174,0.9129162468135902,0.06654831157699254,0.020535441609417407
strictly,0.9044629974584129,0.02400705390633156,0.07152994863525566
manfred,0.9009161975217045,0.05960713777316438,0.039476664705131156
dictatorship,0.9002387259289849,0.09253761258171356,0.007223661489301549
reactor,0.8997754927499422,0.05788170569290708,0.042342801557150665
obscured,0.8996500321755168,0.003965041386215083,0.09638492643826821
sinclair,0.8971957535917763,0.014192516392593793,0.08861173001562996
containers,0.8960628447084203,0.052484773232308705,0.0514523820592709
settle,0.8958030273623969,0.0037798120734096677,0.10041716056419343
conviction,0.8955976445916741,0.08362115639493785,0.020781199013387947
##pass,0.8951357741450255,0.07286277217029904,0.0320014536846754
hottest,0.8949804153660915,0.0353186158146847,0.0697009688192237
thus,0.8907930320061159,0.0637558529028571,0.04545111509102696
##pon,0.8907538334951769,0.02549731660058038,0.08374884990424274
gym,0.8885136924979414,0.0642267482194322,0.04725955928262638
sorry,0.8812800882714925,0.0969522578096328,0.02176765391887466
##sive,0.878095035816536,0.11754519957115386,0.004359764612310082
holmes,0.8752971037292552,0.03627567210106427,0.08842722416968046
spanned,0.8746882697770947,0.002420751003608567,0.12289097921929673
borg,0.8735380599502974,0.09439803731822351,0.03206390273147899
fury,0.8730285866497277,0.021426922272270475,0.10554449107800186
explosion,0.8719486419680417,0.06531042468089293,0.06274093335106547
##logic,0.869312611201428,0.07183917603797675,0.05884821276059519
assign,0.8660320030178867,0.0679011250349081,0.06606687194720516
therapeutic,0.8631332383405689,0.015709074941730475,0.12115768671770058
intend,0.8620430725880515,0.052195323614641936,0.0857616037973066
forerunner,0.8579532450610732,0.10986250788614901,0.03218424705277781
##oting,0.8559250895562466,0.036006144985961754,0.10806876545779176
mausoleum,0.8552652867314658,0.06923498006332181,0.07549973320521235
brink,0.8541759715534191,0.05231502220412306,0.09350900624245781
instructions,0.8540485922177123,0.002803491455468466,0.1431479163268191
supplier,0.8538856431491544,0.04257015759071157,0.10354419926013413
##oli,0.8534993480728411,0.023669278365623922,0.122831373561535
##fra,0.8527716891047045,0.12992074980214477,0.01730756109315071
intimate,0.8519298566799062,0.12146396788229534,0.026606175437798536
torches,0.8504496109333408,0.03827848872843166,0.11127190033822736
lining,0.8498951398918236,0.017504285090292414,0.13260057501788383
relied,0.848261725526513,0.020424074940735382,0.1313141995327516
jay,0.8476762412883968,0.10650203363443705,0.04582172507716607
deteriorated,0.8473007239442624,0.06816692099913328,0.08453235505660436
oversees,0.8460645311948339,0.055184518986401504,0.09875094981876459
amplified,0.8416047298890827,0.129459238194538,0.028936031916379192
abolished,0.8412142734752744,0.09022491500013849,0.06856081152458715
hannibal,0.8406245166739243,0.06146241341322256,0.09791306991285288
warp,0.8380248313319942,0.08930304062438955,0.07267212804361614
acclaimed,0.8344144062087364,0.1631917119445638,0.002393881846699648
discover,0.8260587113620336,0.15308572519382188,0.02085556344414456
dated,0.8229106500267115,0.08609077020934178,0.09099857976394674
##encia,0.8225753593934829,0.1283202084576399,0.04910443214887717
wheeler,0.8222879376741175,0.01570722075324713,0.16200484157263542
##eding,0.8221926794276657,0.13630172415599506,0.04150559641633934
nikki,0.8196310149244541,0.050280179945024185,0.1300888051305216
unmarked,0.819349595224997,0.12417322239065356,0.056477182384349484
atmosphere,0.8176100135498351,0.060220200586514935,0.12216978586364992
categories,0.8161464086606008,0.1284365809606746,0.055417010378724575
patches,0.8119962777393558,0.05135699393005927,0.1366467283305849
113,0.8089398320002108,0.16246851465290008,0.028591653346889123
avalanche,0.8088041131579865,0.0663104863556492,0.12488540048636428
##rre,0.8062459483669044,0.08338906411059362,0.11036498752250201
victories,0.8061005794775579,0.149843998581622,0.04405542194082027
yield,0.8055735169270978,0.18857048098912177,0.005856002083780453
olga,0.8055285712700576,0.11894297571467582,0.0755284530152666
irresistible,0.8037386917543937,0.1332982317240432,0.06296307652156301
feeling,0.8023861052004585,0.06363624898293575,0.13397764581660562
southwest,0.8007887711594861,0.17705859136535332,0.02215263747516068
##un,0.7984177408813604,0.15234073101700177,0.049241528101637795
ambushed,0.7982994103021276,0.08125779432280152,0.12044279537507084
##aging,0.7975106200625175,0.1554557988427952,0.04703358109468715
pantheon,0.7951522101208764,0.00869505245554886,0.19615273742357472
narrowed,0.7951280081170521,0.06517361625218547,0.1396983756307624
##san,0.7947988673509788,0.13077000918577325,0.07443112346324797
##his,0.7913323404031621,0.014784235831712152,0.19388342376512577
captivity,0.7908003171607153,0.11858128872587521,0.0906183941134095
##uz,0.788575384748802,0.09398322801057787,0.11744138724062014
possession,0.7882813584276092,0.11488106736314621,0.0968375742092448
carts,0.7864138029064975,0.18145038795787,0.03213580913563245
##block,0.7863341251745544,0.1335901101287001,0.08007576469674552
genevieve,0.785511087515983,0.10548679669481385,0.10900211578920313
privileged,0.7849493281616676,0.13443030411843743,0.08062036771989493
##org,0.7846908693072279,0.020889429535387673,0.19441970115738438
economist,0.7838269453191974,0.1353623378631345,0.08081071681766806
interpretations,0.7829917583066792,0.19400197105606956,0.02300627063725133
##was,0.7829026838581883,0.048670075107486645,0.16842724103432508
agricultural,0.7815897989581884,0.11560837308039733,0.10280182796141422
roanoke,0.7796016168155124,0.10047327977756773,0.11992510340691995
punched,0.7790977031803,0.007827954239787688,0.2130743425799123
opted,0.7756821307230571,0.18357812419377526,0.040739745083167536
comeback,0.7733865117464216,0.14982079183154204,0.07679269642203627
collapses,0.7727345647978612,0.04327494325231115,0.18399049194982758
##pha,0.7713944188397505,0.07462609685546209,0.15397948430478736
doc,0.7699111197085358,0.112344353577154,0.11774452671431021
heating,0.7697547783014664,0.0693673003972001,0.16087792130133347
underwent,0.7695757227611182,0.05393508211996003,0.17648919511892175
firefighters,0.7693282298224516,0.16660840099730972,0.06406336918023857
46th,0.7687503839879032,0.20015437049238755,0.03109524551970929
servicemen,0.7679781965602389,0.1421802411504503,0.08984156228931073
afl,0.7673417204505416,0.12962111288789574,0.10303716666156264
editing,0.767291539964139,0.10451227565922502,0.12819618437663596
kathryn,0.7672800542529995,0.06223381140673319,0.17048613434026735
##torm,0.766655500221452,0.03495471520482769,0.19838978457372033
##ergy,0.7646836439025869,0.10455716768696142,0.13075918841045162
##zzo,0.7644652891249406,0.17934505700672165,0.056189653868337686
superficial,0.7641965615724656,0.043332956815139115,0.19247048161239527
##iac,0.7641529086610083,0.09435533645872092,0.1414917548802707
exceptions,0.7636790191138441,0.06171948575855796,0.17460149512759815
antrim,0.7632322494938751,0.005654290226598736,0.2311134602795261
liable,0.7627554812690636,0.171814914807716,0.06542960392322042
##brand,0.7622709159592337,0.0075642702891055074,0.23016481375166067
2006,0.761798707818459,0.03318113776098915,0.20502015442055171
pretended,0.7617303203343653,0.12892708590302746,0.10934259376260728
##ative,0.7616544876069403,0.11779524142124105,0.12055027097181868
virtue,0.7613561471247731,0.2105218740848897,0.028121978790337183
evident,0.7612535954843516,0.04338852749436908,0.19535787702127932
chapter,0.7607061549115172,0.08677775764752405,0.15251608744095885
ellen,0.7596000106490821,0.23489773112951745,0.005502258221400479
wet,0.7594506538297098,0.1504864467020286,0.09006289946826163
extensively,0.7591109205698706,0.071705080343097,0.16918399908703233
swiftly,0.7584671643760792,0.11840269531672559,0.12313014030719532
myth,0.7571368290334497,0.006384079528127406,0.23647909143842283
facial,0.7558215791353108,0.21260061326252674,0.031577807602162396
dates,0.7554722015384607,0.13117760566110026,0.11335019280043895
illustrate,0.7552525028750815,0.21475524164737217,0.029992255477546362
230,0.7552004255776642,0.08340093655108992,0.16139863787124573
recoil,0.7542705572532566,0.08573625307110487,0.1599931896756385
planet,0.7530213143196313,0.08090105981144126,0.16607762586892744
stack,0.7521577094324559,0.07743030757372515,0.17041198299381902
##din,0.7509765514142472,0.11821091321743012,0.1308125353683227
stroke,0.7504134679029068,0.2419996510202226,0.0075868810768704945
sheets,0.750043837877315,0.1490842945485259,0.10087186757415903
breed,0.7494845465345743,0.21877760078476818,0.03173785268065748
##eet,0.7489386312269852,0.1266121846975114,0.12444918407550347
link,0.748833317632504,0.1258500205980541,0.12531666176944198
greek,0.7485080235958167,0.08445580955996689,0.16703616684421643
##bre,0.7483571608440679,0.03623472102181734,0.2154081181341147
##ider,0.748006305878562,0.12000764202438939,0.13198605209704858
illicit,0.746650778591225,0.1406470950915284,0.1127021263172466
debating,0.7460762065609359,0.09245199395815294,0.16147179948091117
enrollment,0.745637429866783,0.22408699390523948,0.030275576227977385
devised,0.7453508442183348,0.17090028757172576,0.08374886820993963
meat,0.7435444364754992,0.1960298753358812,0.06042568818861974
sioux,0.7432980954147314,0.20395051312426787,0.05275139146100076
##su,0.7431750352758013,0.16273275495089792,0.09409220977330073
uncover,0.7429427086803775,0.1276217717709527,0.12943551954866986
slick,0.7428139336409284,0.152823255505729,0.10436281085334255
aggressively,0.7416754726336441,0.2012462422832972,0.057078285083058795
southeast,0.7396056771173543,0.09118227401628265,0.169212048866363
##ions,0.7389845930517502,0.16590636657862526,0.09510904036962448
restricting,0.7388629302854204,0.2524258019520411,0.008711267762538527
skepticism,0.7380086366019669,0.1573474823848082,0.10464388101322486
detention,0.737604994063336,0.2192115481787368,0.04318345775792715
pods,0.7374346847904126,0.10791228049597786,0.15465303471360956
raleigh,0.736292246357276,0.11024880016579615,0.1534589534769278
depend,0.735836386476703,0.24388722538525434,0.020276388138042573
winds,0.735736698527986,0.1659713631702027,0.09829193830181143
##35,0.7352546854161958,0.032861842347178524,0.2318834722366257
1887,0.7349898315848787,0.18566181130920967,0.07934835710591157
distract,0.7334598740953244,0.04635118156086005,0.22018894434381553
lakeside,0.7324527927699104,0.14060860518665746,0.12693860204343219
##side,0.731660423899544,0.1064542301045369,0.16188534599591906
elena,0.7315770213339322,0.23892297096788845,0.02950000769817936
hospitality,0.7307001372045379,0.010728320962139153,0.2585715418333229
arlington,0.7299530179446773,0.16921164672367375,0.10083533533164898
##ings,0.7299425558643776,0.18265702798828395,0.0874004161473383
##lessly,0.7297437992884394,0.1931434266596292,0.07711277405193144
loudly,0.728006867319603,0.09846626687718542,0.17352686580321172
fascinated,0.7270761351293433,0.21997948485395752,0.05294438001669914
##iba,0.7250930108517714,0.17555510093020316,0.0993518882180256
cannes,0.7242973618800422,0.2093067651540714,0.06639587296588632
preservation,0.724120877264867,0.25353164138065964,0.022347481354473318
insanity,0.7238979657146011,0.18457205520447564,0.09152997908092327
amp,0.7229973425492339,0.08224892462799324,0.19475373282277295
revoked,0.7226624490001948,0.13934222929134538,0.1379953217084599
##rys,0.7220171130028233,0.1467915320372508,0.13119135495992598
thoroughly,0.7196198744857828,0.2537038873380197,0.026676238176197405
attempts,0.719450711132195,0.12721274154915516,0.1533365473186497
stat,0.7191565942020166,0.024250384961690196,0.2565930208362932
emil,0.7191462054214168,0.2212073034646798,0.059646491113903265
undergoes,0.718536092641662,0.0324882148578947,0.24897569250044324
embarrassed,0.7185256754055223,0.16620555672701254,0.11526876786746527
commando,0.7185208096858424,0.02017722202597776,0.26130196828818
