Word,left,center,right
##gle,0.975364830275843,0.003805013511219396,0.02083015621293758
supposedly,0.9673251357922018,0.012903112588298009,0.01977175161950012
transitions,0.9561258808982723,0.008952434213020439,0.0349216848887072
hollis,0.9543371643420104,0.04106106792708802,0.004601767730901365
##moor,0.9540600508236221,0.03128986489452579,0.014650084281852169
willingly,0.9492224861991683,0.04077304794222185,0.010004465858609993
rf,0.9382052195384198,0.03934468144182398,0.02245009901975631
corporation,0.9332982518965977,0.02298441755544994,0.04371733054795221
nicole,0.9291712631041106,0.04200666177790341,0.02882207511798612
menacing,0.9289835408661985,0.06551738051450112,0.005499078619300356
##gnan,0.9187545868601299,0.007267172801060808,0.07397824033880926
distributing,0.9123765476398908,0.012878807534325984,0.0747446448257833
tired,0.9061810166176002,0.0011680593039735138,0.0926509240784262
armies,0.9043079807747385,0.036508507986275175,0.05918351123898637
bloc,0.8995277332419791,0.011712902814911882,0.08875936394310892
dal,0.8982876276966875,0.09430621795429112,0.007406154349021428
stack,0.8937031662635497,0.08958657408390651,0.016710259652543726
##patient,0.884453073427473,0.04099907555357438,0.07454785101895268
90s,0.8826151948962979,0.11414337107767943,0.0032414340260227986
slice,0.8818808590293641,0.08012345792984296,0.0379956830407929
colleges,0.8788268988167616,0.046063776209744355,0.07510932497349405
beast,0.8773883029128249,0.015713851789143807,0.10689784529803133
lund,0.874916186668327,0.01586864147079671,0.1092151718608763
functioning,0.8740891597296255,0.12576713264151007,0.00014370762886440795
posture,0.8730083455523784,0.11491763519602867,0.012074019251592941
relies,0.8723804284903509,0.03060902049212159,0.09701055101752752
commons,0.8721337128395609,0.07845849147003882,0.04940779569040026
barefoot,0.8708967945575404,0.054498305277434524,0.07460490016502509
accelerate,0.8699578848296049,0.10566220850438125,0.024379906666013775
##kis,0.869886089278989,0.024197345324246534,0.10591656539676446
creditors,0.8693514138373974,0.0400338401781406,0.09061474598446206
batch,0.8662252290759386,0.014306943065321966,0.11946782785873933
analyst,0.8647976376340344,0.10809408614734194,0.027108276218623707
##lus,0.864303050618789,0.10998983295291098,0.0257071164283001
qualities,0.8606281810027354,0.10310463596604072,0.03626718303122395
fitness,0.8602228720523429,0.007929547442621948,0.13184758050503517
islam,0.854627337455082,0.05742276711228793,0.08794989543262999
##ming,0.8524538793349806,0.1431147980088841,0.004431322656135169
gabriel,0.8498860751645704,0.08793263328239405,0.06218129155303552
liberty,0.8497462478940317,0.07650169330130095,0.07375205880466737
coupled,0.8484054714848949,0.12867289529472395,0.02292163322038103
##drop,0.8433185546918914,0.015724143831220262,0.1409573014768884
separately,0.8421068550900704,0.016849265730727994,0.14104387917920147
##ressed,0.8415810271756343,0.04091507318232873,0.11750389964203704
breaker,0.8412344846389285,0.020125565328398456,0.13863995003267304
##not,0.8405145744311789,0.006579007925921167,0.1529064176429
considerably,0.8357937645620441,0.04004747627815878,0.12415875915979713
advertisements,0.8349474163473207,0.11751539896594064,0.04753718468673863
significantly,0.8327684334700584,0.12958291649922332,0.037648650030718364
waterway,0.8283694958390646,0.04236451168767114,0.12926599247326426
##lp,0.8271949213012294,0.1666873774893117,0.006117701209458822
occupational,0.824819073504169,0.015956222431231265,0.1592247040645996
principles,0.8223674614708603,0.09746956266418262,0.080162975864957
binds,0.8220068718597668,0.06675900366906315,0.11123412447117006
chapter,0.8216125348449902,0.011200069649948475,0.16718739550506143
chairs,0.8193692332481776,0.14482985026436765,0.03580091648745477
jai,0.8187671575396688,0.17782678632545434,0.00340605613487673
obstacle,0.8173110507719573,0.17874057010602043,0.003948379122022037
establishments,0.8169540504622567,0.006311143525169729,0.17673480601257366
timothy,0.8166999174388762,0.02124526247692181,0.16205482008420205
fifty,0.8151789734823939,0.01281618223312607,0.17200484428448012
leagues,0.8108923863631524,0.07995125253356597,0.10915636110328168
##mental,0.8099887313145063,0.08757697779942589,0.10243429088606788
